0 34 {'weight': 5}
0 79 {'weight': 6}
0 84 {'weight': 6}
0 95 {'weight': 3}
1 96 {'weight': 6}
1 88 {'weight': 10}
1 70 {'weight': 3}
1 25 {'weight': 2}
2 74 {'weight': 1}
2 19 {'weight': 2}
2 28 {'weight': 6}
2 6 {'weight': 4}
3 23 {'weight': 4}
3 58 {'weight': 1}
3 35 {'weight': 2}
3 15 {'weight': 7}
4 26 {'weight': 5}
4 18 {'weight': 3}
4 28 {'weight': 4}
4 37 {'weight': 10}
5 56 {'weight': 9}
5 93 {'weight': 9}
5 86 {'weight': 4}
5 13 {'weight': 9}
6 57 {'weight': 10}
6 14 {'weight': 1}
6 81 {'weight': 6}
7 41 {'weight': 1}
7 11 {'weight': 3}
7 46 {'weight': 7}
7 89 {'weight': 7}
8 56 {'weight': 9}
8 73 {'weight': 6}
8 42 {'weight': 4}
8 51 {'weight': 8}
9 49 {'weight': 5}
9 71 {'weight': 7}
9 13 {'weight': 7}
9 63 {'weight': 5}
10 82 {'weight': 2}
10 75 {'weight': 4}
10 28 {'weight': 4}
10 31 {'weight': 9}
11 97 {'weight': 8}
11 99 {'weight': 9}
11 36 {'weight': 8}
12 43 {'weight': 2}
12 93 {'weight': 6}
12 62 {'weight': 10}
12 87 {'weight': 3}
13 61 {'weight': 9}
13 95 {'weight': 5}
14 73 {'weight': 5}
14 45 {'weight': 6}
14 47 {'weight': 1}
15 32 {'weight': 10}
15 50 {'weight': 3}
15 59 {'weight': 9}
16 40 {'weight': 9}
16 66 {'weight': 7}
16 74 {'weight': 10}
16 23 {'weight': 10}
17 59 {'weight': 10}
17 68 {'weight': 1}
17 21 {'weight': 2}
17 22 {'weight': 5}
18 45 {'weight': 1}
18 78 {'weight': 6}
18 55 {'weight': 7}
19 48 {'weight': 2}
19 83 {'weight': 4}
19 45 {'weight': 8}
20 64 {'weight': 5}
20 52 {'weight': 3}
20 29 {'weight': 10}
20 62 {'weight': 10}
21 82 {'weight': 5}
21 43 {'weight': 6}
21 93 {'weight': 2}
22 74 {'weight': 9}
22 63 {'weight': 7}
22 41 {'weight': 4}
23 30 {'weight': 9}
23 47 {'weight': 2}
24 96 {'weight': 8}
24 44 {'weight': 3}
24 53 {'weight': 5}
24 55 {'weight': 3}
25 42 {'weight': 8}
25 50 {'weight': 1}
25 30 {'weight': 9}
26 35 {'weight': 10}
26 50 {'weight': 3}
26 51 {'weight': 3}
27 97 {'weight': 6}
27 51 {'weight': 6}
27 41 {'weight': 1}
27 39 {'weight': 8}
28 77 {'weight': 5}
29 48 {'weight': 9}
29 85 {'weight': 7}
29 63 {'weight': 5}
30 34 {'weight': 5}
30 83 {'weight': 8}
31 40 {'weight': 2}
31 60 {'weight': 3}
31 39 {'weight': 10}
32 70 {'weight': 9}
32 86 {'weight': 5}
32 46 {'weight': 1}
33 90 {'weight': 8}
33 67 {'weight': 4}
33 66 {'weight': 2}
33 54 {'weight': 3}
34 82 {'weight': 5}
34 35 {'weight': 6}
35 78 {'weight': 10}
36 99 {'weight': 1}
36 52 {'weight': 3}
36 94 {'weight': 7}
37 60 {'weight': 7}
37 62 {'weight': 9}
37 87 {'weight': 6}
38 60 {'weight': 2}
38 92 {'weight': 8}
38 77 {'weight': 4}
38 46 {'weight': 1}
39 75 {'weight': 1}
39 62 {'weight': 9}
40 64 {'weight': 7}
40 44 {'weight': 8}
41 52 {'weight': 8}
42 75 {'weight': 2}
42 79 {'weight': 4}
43 93 {'weight': 2}
43 71 {'weight': 3}
44 83 {'weight': 6}
44 84 {'weight': 7}
45 53 {'weight': 2}
46 92 {'weight': 4}
47 50 {'weight': 1}
47 77 {'weight': 7}
48 76 {'weight': 2}
48 63 {'weight': 8}
49 64 {'weight': 2}
49 54 {'weight': 1}
49 71 {'weight': 8}
51 60 {'weight': 5}
52 81 {'weight': 2}
53 86 {'weight': 7}
53 61 {'weight': 8}
54 69 {'weight': 8}
54 79 {'weight': 10}
55 91 {'weight': 9}
55 85 {'weight': 9}
56 57 {'weight': 6}
56 78 {'weight': 2}
57 89 {'weight': 7}
57 98 {'weight': 3}
58 67 {'weight': 10}
58 84 {'weight': 9}
58 78 {'weight': 4}
59 64 {'weight': 10}
59 90 {'weight': 3}
61 96 {'weight': 9}
61 92 {'weight': 7}
65 90 {'weight': 5}
65 67 {'weight': 2}
65 68 {'weight': 10}
65 77 {'weight': 10}
66 75 {'weight': 6}
66 70 {'weight': 1}
67 98 {'weight': 6}
68 73 {'weight': 7}
68 81 {'weight': 7}
69 88 {'weight': 8}
69 72 {'weight': 9}
69 99 {'weight': 4}
70 72 {'weight': 1}
71 79 {'weight': 1}
72 94 {'weight': 5}
72 85 {'weight': 10}
73 91 {'weight': 6}
74 94 {'weight': 5}
76 88 {'weight': 4}
76 86 {'weight': 7}
76 94 {'weight': 6}
80 96 {'weight': 1}
80 90 {'weight': 4}
80 91 {'weight': 5}
80 84 {'weight': 2}
81 97 {'weight': 7}
82 95 {'weight': 8}
83 99 {'weight': 5}
85 92 {'weight': 3}
87 88 {'weight': 2}
87 98 {'weight': 6}
89 98 {'weight': 9}
89 95 {'weight': 10}
91 97 {'weight': 1}
